name,duration,playcount,listeners,artist
HELICOPTER,160,1171096,301206,A$AP Rocky
End of Beginning,159,30276407,1851849,Djo
Order of Protection,171,597494,260783,A$AP Rocky
Stateside + Zara Larsson,176,5298821,485962,PinkPantheress
STOLE YA FLOW,199,762263,247930,A$AP Rocky
Playa,227,552375,219931,A$AP Rocky
STAY HERE 4 LIFE,346,599725,218279,A$AP Rocky
Interrogation (Skit),49,432962,208833,A$AP Rocky
Fame Is a Gun,181,14614979,826808,Addison Rae
Punk Rocky,234,1405045,291406,A$AP Rocky
NO TRESPASSING,195,530953,205426,A$AP Rocky
Lush Life,201,11275854,1284811,Zara Larsson
The Fate of Ophelia,226,20255261,911695,Taylor Swift
WHERE IS MY HUSBAND!,196,7209130,755737,RAYE
Stop Snitching,200,434593,178644,A$AP Rocky
Midnight Sun,189,7094821,461404,Zara Larsson
4 Raws,147,6152167,534249,EsDeeKid
AIR FORCE (BLACK DEMARCO),224,437662,175460,A$AP Rocky
I Just Might,212,1070002,277338,Bruno Mars
I Thought I Saw Your Face Today,185,5120461,695687,She & Him
DON'T BE DUMB / TRIP BABY,285,513231,168227,A$AP Rocky
back to friends,199,20644179,1268386,sombr
Creep,235,56779491,3954530,Radiohead
Stfu,178,350231,158311,A$AP Rocky
The Less I Know the Better,217,45162037,2619579,Tame Impala
Whiskey (Release Me),245,379319,155214,A$AP Rocky
Where's My Phone?,189,771324,154788,Mitski
"Lover, You Should've Come Over",403,28220437,1516741,Jeff Buckley
No One Noticed,236,29641166,1448978,The Marías
"Good Luck, Babe!",218,56505217,1991997,Chappell Roan
Every Breath You Take,251,24764477,2719725,The Police
505,305,54802235,2900397,Arctic Monkeys
Let Down,337,37048840,2394381,Radiohead
ROBBERY,235,336500,140090,A$AP Rocky
Sienna,224,16735376,1049940,The Marías
So Easy (To Fall In Love),170,5056314,634941,Olivia Dean
Manchild,213,19701278,1094395,Sabrina Carpenter
Swat Team,192,306051,135768,A$AP Rocky
Duvet,203,38317157,1869474,bôa
The End,214,274018,130478,A$AP Rocky
Sweater Weather,240,47424073,2851088,The Neighbourhood
Lovers Rock,213,47426792,2069835,TV Girl
Man I Need,184,6155565,658751,Olivia Dean
Gabriela,197,15204378,883588,KATSEYE
Tears,160,12742406,913297,Sabrina Carpenter
Feel Good Inc.,236,37520168,3135724,Gorillaz
Iris,289,28720935,2190086,The Goo Goo Dolls
FISH N STEAK (WHAT IT IS),229,267982,126213,A$AP Rocky
Sports car,165,19635927,851604,Tate McRae
Locked Out of Heaven,233,23957475,2362251,Bruno Mars
