name,playcount,listeners
The Weeknd,1072030651,5169363
Radiohead,1321785944,8075683
Taylor Swift,3549523924,5802848
Kendrick Lamar,991845742,4959091
Drake,1100103357,6586123
Ariana Grande,1053196403,4349182
Kanye West,1463540203,7801902
Lady Gaga,993861520,7559715
Rihanna,573486138,8130324
"Tyler, The Creator",1007203348,4199143
A$AP Rocky,336005273,3309298
Charli xcx,672159454,3642207
Sabrina Carpenter,600248738,3112851
Bruno Mars,275399110,5067131
Lana Del Rey,1513314368,5117837
Billie Eilish,798374472,4096644
PinkPantheress,281654754,2800736
Tame Impala,385891982,4114632
Arctic Monkeys,904054985,6948818
Frank Ocean,743306614,4138619
Paramore,559010445,5490457
Doja Cat,444650778,3502761
Gorillaz,490258312,6709932
Justin Bieber,302405569,4639065
Fleetwood Mac,280752763,4745802
Mitski,623046142,3136755
The Smiths,515821193,4937139
Chappell Roan,313136368,2452724
Deftones,536835985,4104347
Travis Scott,655681482,3235717
The Marías,211991483,2345693
Linkin Park,711521718,6792147
The Neighbourhood,373595278,3826410
Coldplay,765636268,8950442
SZA,565157313,3393331
Playboi Carti,747808568,2400700
Childish Gambino,312608565,3688798
Future,439172910,3126429
Djo,79549714,2161810
Olivia Rodrigo,531191387,2982627
Clairo,329805415,2824196
Michael Jackson,335957944,6673924
Lil Uzi Vert,409703765,2638638
TV Girl,273613491,2725452
Zara Larsson,69870414,2040558
Beyoncé,676607010,6271211
Nirvana,563894471,7396132
Tate McRae,254611877,2168643
Lorde,427341336,3631031
The Beatles,1070202416,6391688
