name,duration,playcount,listeners,artist
End of Beginning,159,30047095,1842715,Djo
HELICOPTER,160,916059,259280,A$AP Rocky
Stateside + Zara Larsson,176,4836427,457591,PinkPantheress
Order of Protection,171,458952,227471,A$AP Rocky
Fame Is a Gun,181,14415190,818427,Addison Rae
STOLE YA FLOW,199,551866,208847,A$AP Rocky
The Fate of Ophelia,226,20025362,906506,Taylor Swift
Punk Rocky,234,1225507,268577,A$AP Rocky
STAY HERE 4 LIFE,346,506967,200068,A$AP Rocky
Lush Life,201,11128820,1271238,Zara Larsson
WHERE IS MY HUSBAND!,196,7065220,746733,RAYE
I Just Might,212,914292,251969,Bruno Mars
Playa,227,402537,184032,A$AP Rocky
Interrogation (Skit),49,334635,182566,A$AP Rocky
4 Raws,147,5979251,520674,EsDeeKid
NO TRESPASSING,195,389276,174949,A$AP Rocky
Midnight Sun,189,6877113,449758,Zara Larsson
I Thought I Saw Your Face Today,185,4960200,679858,She & Him
back to friends,199,20505188,1263105,sombr
Stop Snitching,200,376969,166851,A$AP Rocky
Creep,235,56656449,3950276,Radiohead
The Less I Know the Better,217,45063411,2615322,Tame Impala
"Lover, You Should've Come Over",403,28090577,1511943,Jeff Buckley
AIR FORCE (BLACK DEMARCO),224,326843,151825,A$AP Rocky
"Good Luck, Babe!",218,56409314,1989609,Chappell Roan
Every Breath You Take,251,24674926,2714613,The Police
No One Noticed,236,29516520,1444649,The Marías
Stfu,178,309487,148321,A$AP Rocky
Sienna,224,16614931,1045602,The Marías
Whiskey (Release Me),245,327499,144341,A$AP Rocky
So Easy (To Fall In Love),170,4941506,627348,Olivia Dean
Manchild,213,19576839,1091341,Sabrina Carpenter
Let Down,337,36925456,2390337,Radiohead
505,305,54702467,2896692,Arctic Monkeys
DON'T BE DUMB / TRIP BABY,285,362941,139652,A$AP Rocky
Locked Out of Heaven,233,23895913,2357536,Bruno Mars
Gabriela,197,15108878,879423,KATSEYE
Tears,160,12638647,910290,Sabrina Carpenter
Man I Need,184,6053140,653094,Olivia Dean
Duvet,203,38230787,1865278,bôa
Sweater Weather,240,47343801,2847403,The Neighbourhood
ROBBERY,235,292238,130607,A$AP Rocky
Feel Good Inc.,236,37445413,3132123,Gorillaz
Lovers Rock,213,47337152,2066515,TV Girl
That's What I Like,206,16455705,1762107,Bruno Mars
Iris,216,28638481,2186456,The Goo Goo Dolls
Sports car,165,19537205,848484,Tate McRae
BIRDS OF A FEATHER,183,52587674,2123270,Billie Eilish
The End,214,240029,121597,A$AP Rocky
Where's My Phone?,189,563894,120968,Mitski
